"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"Sometimes, you've got to try your luck! ☄️

#FIFAWorldCup #Griezmann #France","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxkZmdpLQX9/","428","🔥🔥","353101","2023-09-24T09:00:32.000Z",
"Remarkable Richarlison! 🇧🇷🤯

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxknYJ8IwOv/","1659","🔥🔥","568075","2023-09-24T11:00:49.000Z",
"An @azzurri legend and #FIFAWorldCup winner. 🇮🇹🏆

Happy birthday, @francescototti! 🎉","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxsN7WENzi_/","179","Er pupone nostro 💛❤️","122182","2023-09-27T09:52:04.000Z",
"Percy Tau = Al Ahly's soaring eagle! 🇪🇬🦅 #ClubWC","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxlC3Jmo9sJ/","89","❤️🔥🔥🔥","39229","2023-09-24T15:01:21.000Z",
"🤯🚀 @alvarobarreal31 with the kind of goal 𝒆𝒗𝒆𝒓𝒚 𝒔𝒊𝒏𝒈𝒍𝒆 𝒐𝒏𝒆 of you has daydreamed about scoring.

Does it get your FIFA Puskas Award vote? 🗳

(Footage courtesy of @ussoccer)","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxjHMrHLYA2/","154","Great","98523","2023-09-23T21:03:42.000Z",
"Guess who? 👤

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxnguxNi4qs/","8157","Zlatan","797434","2023-09-25T14:00:10.000Z",
"Park Ji Sung = Not just a workhorse 🇰🇷😏

#FIFAWorldCup #KoreaRepublic #ParkJiSung","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxpjLoSt8Qn/","291","","105400","2023-09-26T09:01:28.000Z",
"Can these #FIFAWorldCup ballers be the difference for their teams in pursuit of the Copa Libertadores? 🌟

#ClubWC","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxsgBsYN_U_/","336","Fluminense","162377","2023-09-27T12:30:00.000Z",
"🇨🇴🔥 Linda Caicedo making sure the world knows her name.

Does her screamer get your #Puskas Award vote? #TheBest","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cxlq_9DtX4d/","565","Das ist wunderbar","204169","2023-09-24T20:52:34.000Z",
"It ain't over until the final whistle blows... ⏱️","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxi6dTDLcVv/","91","o xavi","64950","2023-09-23T19:08:50.000Z",
"Who is the first player you think of when you see this ball? ⚽️💭

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxn85P2ODUx/","1874","Roberto Carlos","150849","2023-09-25T18:06:21.000Z",
"🇵🇹🫂🇸🇳","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxgnc6aPUmb/","499","🐐+🦁=⚽️","362501","2023-09-22T21:44:13.000Z",
"Another match ball for @HarryKane's collection... ⚽✨","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxikKEPRQw3/","45","🙌","36431","2023-09-23T15:53:58.000Z",
"Prime R9 was a problem. 🌪️

#FIFAWorldCup #Brazil #Ronaldo","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxgU2mSv6ND/","382","⁹👑","75170","2023-09-22T19:03:03.000Z",
