,,Unnamed: 0,id,likesCount,ownerProfilePicUrl,ownerUsername,postUrl,text,timestamp,language,word count,emoji count,emoji list,emoji pattern list
1,428,34783,17983588228731436,1,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-19/200953892_812820442754838_2662016492262825948_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=slei6XiVb4kAX8d0JB0&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCycm5m2zL2kOSLzC5qDQkxqAif6HCkIXtrwnV4zgGLOg&oe=65235894&_nc_sid=2999b8,tukang_bikindosa,https://www.instagram.com/p/ClOJRHcNUv0/,@arthur.storck 😂😂😂😝😝😝,2022-11-21,en,2,6,"['😂', '😂', '😂', '😝', '😝', '😝']",['😂😂😂😝😝😝']
1,449,40292,18003684469480651,0,https://instagram.fjai1-3.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?stp=dst-jpg_e0&_nc_ht=instagram.fjai1-3.fna.fbcdn.net&_nc_cat=1&_nc_ohc=HAahVpYjX1UAX82QifV&edm=APcnxpQBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfCi7q9sgpwAs8ObrQWs_XlY9BaBrgnLvFF1x73plOT2kw&oe=65240ACF&_nc_sid=a1bb5f,b4x_fn,https://www.instagram.com/p/ClL3VrXpxTk/,Puyol behind the camera😭,2022-11-21,en,4,1,['😭'],[]
1,295,19286,17845335017877555,0,https://instagram.fbcn14-1.fna.fbcdn.net/v/t51.2885-19/154115209_494152124911039_313676070577304743_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbcn14-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=8rf3V2vWZP0AX_WjOyv&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAqOx4GiIr-41EZnxoHXT2Fv-6F-sP79GdhOYQs4DQFJw&oe=6523753F&_nc_sid=2999b8,habe7th,https://www.instagram.com/p/ClOKhQAJmLw/,Why Coke?😢,2022-11-21,en,2,1,['😢'],[]
2,200,40282,17959982564142795,0,https://instagram.fknu1-1.fna.fbcdn.net/v/t51.2885-19/271307620_907313323318036_6160411395704490414_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fknu1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ZMHykWm0RbMAX-g762E&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCohIjAINlyrTJnkCuuhNVdDp9alRMHN0JmDBTutFyfvw&oe=65233C70&_nc_sid=2999b8,sesn10,https://www.instagram.com/p/ClL3VrXpxTk/,@ikercasillasrules No veo donde sale neuer en el video 😮,2022-11-21,es,10,1,['😮'],[]
2,207,40285,17913100742571763,0,https://instagram.fknu1-4.fna.fbcdn.net/v/t51.2885-19/319801812_682130690100752_1834188680325988263_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fknu1-4.fna.fbcdn.net&_nc_cat=108&_nc_ohc=vccdzODxtSoAX-UfHrL&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAFShzTv_jTGmN5V-lS6pRp5ZrpeSJ-gVmB2A8J0LEGrw&oe=6522E24A&_nc_sid=2999b8,ikercasillasrules,https://www.instagram.com/p/ClL3VrXpxTk/,@sesn10 porque no sale🤔,2022-11-21,es,4,1,['🤔'],[]
2,319,40628,17966026958004298,0,https://instagram.fjed2-1.fna.fbcdn.net/v/t51.2885-19/316401142_498491218899500_5568177641517845111_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fjed2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=BA6BbkAcKngAX9ITbBA&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfALaQ7YCoahkkbTbYpXOspgWA0IrfYM3-tyhvA6tK4_LQ&oe=65233802&_nc_sid=2999b8,angeliicano.ac,https://www.instagram.com/p/ClMUO2ILcrL/,❤️❤️❤️❤️❤️❤️ Ecuatorianos 😍😍😍😍😍,2022-11-21,es,3,11,"['❤', '❤', '❤', '❤', '❤', '❤', '😍', '😍', '😍', '😍', '😍']",['😍😍😍😍😍']
2,180,39100,17996321362566686,0,https://instagram.fdxb1-1.fna.fbcdn.net/v/t51.2885-19/334464490_6449453485087644_4666921755150599324_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fdxb1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ZNWtXfN8noEAX_50_8q&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDL5xTCY-pAoElC-xMpIuP6GKJAZnUWEzqKqKd3j6T6qA&oe=6524591A&_nc_sid=2999b8,carla.abarcaa,https://www.instagram.com/p/ClMjG6xL8cG/,"👏👏vamos con todo, strong",2022-11-21,es,4,2,"['👏', '👏']",['👏👏']
2,334,30054,17954033090090378,0,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-19/378614190_968767054423287_8541105591603834449_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=103&_nc_ohc=IqY9csGHKI0AX9YjvCE&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAvA31rxwMtDiXxDO7o2R5f6kpfHkeZGIAPEtu8Wwjxpw&oe=6523C72F&_nc_sid=2999b8,kimysc,https://www.instagram.com/p/ClKW96gNV0s/,Vamos con todo 🇨🇷♥️⚽️,2022-11-21,es,4,2,"['♥', '⚽']",[]
2,349,29987,18150919690286906,0,https://instagram.fpos1-2.fna.fbcdn.net/v/t51.2885-19/318601020_1804566796581324_7495591934707003508_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fpos1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=oCh4xRLHG0gAX_teuu5&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCXap9p72SpwTbdsiSM4uBnmBPKQ1EGCS8_1P0Diapn3w&oe=65242C56&_nc_sid=2999b8,erdem_aydn_,https://www.instagram.com/p/ClMZnx2rBfk/,🔵🟡Fenerbahçe ❤️Ecuador,2022-11-21,es,2,3,"['🔵', '🟡', '❤']",['🔵🟡']
2,330,19749,18037910437403230,0,https://instagram.fist7-1.fna.fbcdn.net/v/t51.2885-19/318869033_853854549099115_3459279181463599923_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fist7-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=BIWD73Fd554AX_463jy&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCwnaStOZ3O0yvTKGiEKFkc50dwhej88mm2j5lbWVmDXw&oe=6524BF34&_nc_sid=2999b8,pola_page,https://www.instagram.com/p/ClMykcErAZi/,Ecuador! 🇪🇨🇪🇨🇪🇨🇪🇨❤❤,2022-11-21,es,2,2,"['❤', '❤']",['❤❤']
